automated_readability_index,automated_readability_index_simple,coleman_readability,easy_listening,flesch_kincaid_grade,flesch_reading_ease
12.54,65.0,26.049999999999997,1.0,10.610000000000003,23.935000000000002
9.899999999999999,60.0,4.550000000000004,0.0,5.510000000000002,62.701666666666654
18.25,76.0,-6.200000000000003,1.0,13.71,6.310000000000002
14.895000000000003,69.5,26.049999999999997,1.0,6.41,53.985000000000014
2.7650000000000006,46.5,90.55,3.0,0.010000000000001563,108.88499999999999
14.04,68.0,38.95,2.0,7.07,56.095
26.17,91.0,-38.45,0.0,18.51,-34.86500000000001
3.620000000000001,48.0,47.55000000000001,1.0,5.510000000000002,62.701666666666654
1.7650000000000006,44.5,58.3,1.0,3.210000000000001,81.43500000000002
10.184999999999999,60.5,26.049999999999997,0.0,6.41,53.985000000000014
5.189999999999998,51.0,47.55000000000001,1.0,5.510000000000002,62.701666666666654
2.620000000000001,46.0,90.55,1.0,1.7100000000000009,85.335
9.899999999999999,60.0,4.550000000000004,0.0,5.510000000000002,62.701666666666654
17.75,75.0,4.550000000000004,1.0,11.110000000000003,22.63499999999999
12.04,64.0,-38.45,0.0,18.51,-34.86500000000001
-3.9450000000000003,33.5,90.55,0.0,-6.1899999999999995,144.13500000000002
-0.375,40.5,69.05,1.0,0.010000000000001563,108.88499999999999
-5.800000000000001,30.0,90.55,1.0,-2.8900000000000006,122.80166666666668
12.04,64.0,90.55,1.0,1.7100000000000009,85.335
8.329999999999998,57.0,47.55000000000001,2.0,5.510000000000002,62.701666666666654
21.46,82.0,-38.45,0.0,18.51,-34.86500000000001
12.04,64.0,-38.45,0.0,10.110000000000003,25.234999999999985
2.620000000000001,46.0,90.55,1.0,1.7100000000000009,85.335
5.189999999999998,51.0,47.55000000000001,1.0,2.710000000000001,82.735
19.604999999999997,78.5,-38.45,0.0,10.610000000000003,23.935000000000002
12.300999999999995,64.9,38.95,3.0,10.41,43.58500000000001
11.214000000000006,62.6,13.149999999999999,1.0,10.43,32.05500000000001
26.17,91.0,-38.45,0.0,18.51,-34.86500000000001
13.04,66.0,47.55000000000001,2.0,8.309999999999999,42.66833333333335
11.214000000000006,62.6,64.75,3.0,5.390000000000004,68.11499999999998
-1.5899999999999999,38.0,90.55,1.0,-1.9899999999999984,114.08500000000001
-1.5899999999999999,38.0,90.55,1.0,-1.9899999999999984,114.08500000000001
9.087204968944096,58.45962732919254,45.6804347826087,0.8571428571428571,2.852857142857143,82.36357142857143
-6.800000000000001,28.0,90.55,0.0,-6.6899999999999995,145.435
8.329999999999998,57.0,4.550000000000004,0.0,5.510000000000002,62.701666666666654
4.353750000000002,49.625,58.3,1.0,2.0599999999999987,98.7725
11.003125000000004,62.6875,50.2375,3.0,10.785,54.56625
4.893333333333331,50.5,18.883333333333333,0.5,5.326666666666668,67.42944444444444
6.620000000000001,54.0,47.55000000000001,1.0,3.8433333333333337,88.29055555555558
5.53125,51.875,42.175,1.0,4.16,83.7475
8.260000000000002,57.0,47.55000000000001,2.0,7.010000000000002,58.80166666666665
9.6525,59.75,42.175,3.0,6.260000000000002,68.7225
16.75,73.0,90.55,1.0,1.7100000000000009,85.335
2.620000000000001,46.0,90.55,1.0,1.7100000000000009,85.335
2.620000000000001,46.0,90.55,1.0,1.7100000000000009,85.335
2.620000000000001,46.0,90.55,1.0,1.7100000000000009,85.335
2.620000000000001,46.0,90.55,1.0,1.7100000000000009,85.335
2.620000000000001,46.0,90.55,1.0,1.7100000000000009,85.335
